Requirement ID,Governing text (exact — Master Specification Revision 6),Enforcing component,State transition / proof,Positive test,Negative test,Boundary test,Production evidence,Result,Explanation / refs
VF-IMM-001,"After deployment there is no governance, proposal system, voting system, council, administrator, owner role, upgrade authority, proxy administrator, pause authority, emergency role, rescue role, or discretionary parameter-setting authority.","no-admin CosmWasm contract (admin=""""); no sudo handler","Instantiate with admin=""""; no migrate/update-admin/sudo path","No admin/migrate/pause/rescue/sudo route found","Governance sudo/migrate attempt rejected","admin-empty enforcement","C2: wasmd empty-admin enforcement verified vs tagged source","CONDITIONALLY SATISFIED (C2 resolved)","Design: empty admin + NO migrate/sudo entry. RESOLVED vs wasmd v0.60.7 commit edb607cb: authz_policy.go:22-23 (default CanModifyContract=admin!=nil&&admin.Equals(actor)); :66-67 (gov CanModifyContract=true) BUT keeper.go:512 migrate + :636 sudo require the contract's own entry, which this contract omits. Pending: running-binary confirm (C6) + Rust compile/test (C7)"
VF-IMM-002,"No person, multisignature wallet, organization, AI agent, or implementer may alter protocol economics or redirect protocol-controlled value after finalization.","no-admin contract; fixed fee destination; no value-mutation handlers","Fee to fixed Dev Fund; principal under contract; release only at maturity to bound dest","Value cannot be redirected","Substitute destination rejected","N/A","C2 + C4b fixed Dev Fund address","CONDITIONALLY SATISFIED","Pending C2 (no non-upgrade value-mutation path) and C4b (fixed Hub Dev Fund address)"
VF-IMM-003,"Every permissible post-deployment movement of value must arise from fixed and explicit deployed logic.","contract fixed logic only","Only fee transfer + maturity release; no other value movement","Only fixed paths move value","Any other movement rejected","N/A","C2","CONDITIONALLY SATISFIED","Contract exposes only fixed fee-routing and release logic; pending C2"
VF-IMM-004,"No temporary control may remain after finalization on the theory that it will be removed later.","no admin; no sudo; no temp keys","No temporary admin/role retained","No temp role present","Temp role rejected","N/A","C2","CONDITIONALLY SATISFIED","Empty admin at instantiation; no temporary authority; pending C2"
VF-IMM-005,"Failure of an external dependency must prevent unsafe new issuance without preventing release of matured Commitment Vault principal.","on-chain release independent of Base; Base verification gates issuance","Base failure blocks issuance; on-chain release still proceeds at maturity","Release succeeds when Base/price/relayer down","Issuance proceeds without verification rejected","N/A","C3 + on-chain release","CONDITIONALLY SATISFIED","Principal release is on-chain/permissionless (no external dependency); issuance gating pending C3"
VF-IMM-006,"The inability to repair a deployed defect is an accepted consequence of eliminating post-deployment control.","no upgrade path","No repair path","No repair path exists","Repair attempt rejected","N/A","C2","CONDITIONALLY SATISFIED","No-admin + no-sudo = no repair; accepted; pending C2"
VF-ARC-002,"Commitment Vault principal remains on its supported source blockchain.","no-admin CosmWasm vault holding native ATOM on cosmoshub-4","Principal held as native ATOM in contract balance on-Hub","Principal stays on cosmoshub-4","Bridge/ICA move rejected","N/A","Registry row 479 (ATOM native S3); C1/C2","CONDITIONALLY SATISFIED","Principal held on-Hub; IBC/ICA/consumer-chain candidates rejected; pending C1/C2 deployability"
VF-ARC-003,"One Commitment Vault Lock authorizes no more than one selected protocol-token output.","contract single-output enforcement","One lock id -> one output token","Exactly one output issued","Dual output rejected","N/A","C2 contract tests","CONDITIONALLY SATISFIED","Contract-logic; pending workspace build/test (deferred)"
VF-ARC-004,"A known-invalid Commitment Vault Lock request must be rejected before fee or principal assets move whenever the source environment can determine the invalidity.","atomic CosmWasm Execute with revert before value movement","Validate inputs then atomically transfer fee + lock principal; revert on invalid","Invalid input rejected before assets move","Invalid input that moves assets rejected","N/A","C1/C2 + contract tests","CONDITIONALLY SATISFIED","CosmWasm atomic revert; pending C1/C2 + Section 5.2.1 chain-equivalent enforcement"
VF-ARC-005,"Proof submission or retry cannot change the source event, output token, recipient, valuation, duration, or maturity.","deterministic on-chain state + ICS-23 proof","Finalized block state immutable; proof binds facts","Retry does not alter facts","Altered-fact proof rejected","N/A","C3 proof path","CONDITIONALLY SATISFIED","Finalized CometBFT state immutable; proof binding pending C3"
