# GENERATED FILE — DO NOT EDIT BY HAND.
# Tool: tools/generate_traceability_matrix.cjs v1.0.0
# Commit: 861f03c
# Requirements: 209 | traced: 51 | implemented without a named test: 73 | not traced in code: 85
#
# The authored columns come from spec/Vinculum_Finalis_Requirement_Traceability.csv.
# The columns marked (generated) are derived from the repository at the commit above.
# Regenerate with: node tools/generate_traceability_matrix.cjs
#
# "NOT TRACED IN CODE" is expected for governance, process, and website
# requirements that no contract implements. It is not a defect and is not a
# finding; see reviewers/red-team/README.md.
Requirement ID,Specification section,Architecture component,Implemented in (generated),Tested by (generated),Source-environment program (generated),Traceability (generated),Positive test obligation,Negative or boundary test obligation,Deployment verification obligation,Current status
VF-ARC-001,3.1,BASE-TOK-* + AXELAR-ITS,,,,NOT TRACED IN CODE,Confirm Base canonical issuance/accounting for all 3 tokens,Confirm no other canonical chain,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ARC-002,3.1,SRC-LOCK,,,,NOT TRACED IN CODE,Confirm principal remains on source environment,Confirm no bridge/wrap of principal,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ARC-003,3.2,BASE-ISSUE,,,,NOT TRACED IN CODE,Confirm one output per lock,Confirm dual output rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ARC-004,3.2,SRC-LOCK (chain-native atomic construction) + SRC-PREFLIGHT + BASE-VERIFY,base-contracts/contracts/VinculumFinalisBaseVault.sol | base-contracts/contracts/VinculumFinalisBaseVault.sol:assetPrecisionTable | base-contracts/contracts/VinculumFinalisEvmVault.sol,,cosmos-hub-vault/contracts/vault/src/contract.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs | solana-vault/programs/vf-solana-vault/src/lib.rs,IMPLEMENTED — NO NAMED TEST,Confirm known-invalid request cannot become a recognized Commitment Vault Lock (rejected at source and/or proof-verification path),Confirm invalid request becomes a recognized lock; confirm concurrent invalid attempts cannot slip through,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED
VF-ARC-005,3.2,BASE-VERIFY,base-contracts/contracts/VinculumFinalisBaseVault.sol:assetPrecisionTable,,cosmos-hub-vault/contracts/vault/src/state.rs,IMPLEMENTED — NO NAMED TEST,Confirm proof/retry cannot change source event/output/recipient/valuation/duration/maturity,Confirm alteration rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ARC-006,3.2,SRC-BIND + BASE-VERIFY,base-contracts/contracts/VinculumFinalisVerifier.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,base-contracts/test/25_w1_identity_binding.test.cjs:W1-01a · a package naming a different baseRecipient must not mint,cosmos-hub-vault/contracts/vault/src/contract.rs | cosmos-hub-vault/contracts/vault/src/msg.rs | solana-vault/programs/vf-solana-vault/src/constants.rs | solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/events.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs | solana-vault/programs/vf-solana-vault/src/state.rs,TRACED,Confirm Base recipient may differ from source wallet but is bound+nonzero+authorized at creation within the chain-native construction,Confirm unauthorized/zero recipient rejected,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED
VF-COM-001,5.1,SRC-LOCK + BASE-MULT,base-contracts/contracts/VinculumFinalisVerifier.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,,cosmos-hub-vault/contracts/vault/src/contract.rs | cosmos-hub-vault/contracts/vault/src/error.rs | cosmos-hub-vault/contracts/vault/src/msg.rs | cosmos-hub-vault/contracts/vault/src/tests.rs | solana-vault/programs/vf-solana-vault/src/constants.rs | solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/events.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs | solana-vault/programs/vf-solana-vault/src/lib.rs | solana-vault/programs/vf-solana-vault/src/state.rs,IMPLEMENTED — NO NAMED TEST,Confirm only Section 5.1 durations permitted,Confirm intermediate duration rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-002,5.1,SRC-LOCK + BASE-MULT,base-contracts/contracts/VinculumFinalisVerifier.sol:_computeIssuance | base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,,solana-vault/programs/vf-solana-vault/src/constants.rs | solana-vault/programs/vf-solana-vault/src/error.rs,IMPLEMENTED — NO NAMED TEST,Confirm no intermediate duration/interpolated multiplier,Confirm interpolation rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-003,5.2,SRC-LOCK + BASE-VERIFY,base-contracts/contracts/VinculumFinalisEvmVault.sol | base-contracts/contracts/VinculumFinalisVerifier.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,base-contracts/test/10_cl76_forged_package.test.cjs,cosmos-hub-vault/contracts/vault/src/contract.rs | cosmos-hub-vault/contracts/vault/src/error.rs | cosmos-hub-vault/contracts/vault/src/msg.rs | solana-vault/programs/vf-solana-vault/src/constants.rs | solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs,TRACED,Confirm qualifying Handshake = 1h with $0.95-$1.05 (enforced in source preflight and/or proof-verification path),Confirm out-of-range 1h cannot become a recognized lock,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-004,5.2,SRC-FEE (chain-native atomic construction),,,solana-vault/programs/vf-solana-vault/src/constants.rs,IMPLEMENTED — NO NAMED TEST,Confirm Handshake fee 2.50% routed within the chain-native atomic construction (no partial recognized completion),Confirm wrong fee or fee outside the recognized atomic construction,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED
VF-COM-005,5.2,SRC-BIND,,,cosmos-hub-vault/contracts/vault/src/state.rs | solana-vault/programs/vf-solana-vault/src/events.rs | solana-vault/programs/vf-solana-vault/src/state.rs,IMPLEMENTED — NO NAMED TEST,Confirm identity key = source env + source-chain identity (account for account-model chains; canonical release public key for UTXO-family mechanisms R.13); new wallet/account/release public key permitted,Confirm key mismatch,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-006,5.2,SRC-LOCK + BASE-VERIFY,base-contracts/contracts/VinculumFinalisBaseVault.sol:assetPrecisionTable | base-contracts/contracts/VinculumFinalisEvmVault.sol | base-contracts/contracts/VinculumFinalisVerifier.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:registerChainVerifier | base-contracts/contracts/VinculumFinalisVerifier.sol:registerHandshakeAllowance | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,base-contracts/test/03_handshake.test.cjs:CL-11 · VF-COM-006 handshake allowance registry | base-contracts/test/03_handshake.test.cjs:VF-COM-006: rejects any allowance other than 1 or 3,cosmos-hub-vault/contracts/vault/src/contract.rs | cosmos-hub-vault/contracts/vault/src/error.rs | cosmos-hub-vault/contracts/vault/src/msg.rs | cosmos-hub-vault/contracts/vault/src/state.rs | solana-vault/programs/vf-solana-vault/src/constants.rs | solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/events.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs | solana-vault/programs/vf-solana-vault/src/state.rs,TRACED,Confirm the applicable allowance (one or three successful qualifying Handshakes per bound identity per source-mechanism state capability) consumed at source completion (recognized event),Confirm over-limit success by same identity becomes a recognized lock; confirm concurrent same-identity attempts exceed the applicable allowance,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED
