Requirement ID,Specification section,Architecture component,Planned implementation location,Positive test obligation,Negative or boundary test obligation,Deployment verification obligation,External dependency,Current status,Notes
VF-DOC-001,0.1,DOC-GOV,Governance process (non-code),Confirm current Master Spec is sole governing expression,Attempt to override spec via code/conversation rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Authority rule
VF-DOC-002,0.1,DOC-GOV,Governance process,Confirm code/tests/scripts/website conform,Confirm non-conforming artifact flagged,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Authority rule
VF-DOC-003,0.1,DOC-GOV,Governance process,Confirm later-revision incorporation required for change,Confirm ad-hoc change rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Authority rule
VF-DOC-004,0.1,DOC-GOV,Governance process,Confirm silence/ambiguity identified not assumed,Confirm unstated assumption rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Authority rule; drives I.5 owner decisions
VF-DOC-005,0.2,DOC-GOV + DEPLOY-MANIFEST,Governance process + manifest,Confirm revision designation only in Appendix D,Confirm no stray revision claims,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Revision 5 Current confirmed (28 July 2026); Revision 6 directions proposed in Section R not yet incorporated
VF-DOC-006,0.2,DOC-GOV,Governance process,Confirm later revision supersedes,Confirm prior-revision reliance rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Authority rule
VF-DOC-007,0.2,DOC-GOV,Governance process,Confirm every mechanism states trigger/inputs/outputs/success/reject/relationships/authority,N/A,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Completeness rule
VF-DOC-008,0.3,VERIFY-TEST,Review evidence record,Confirm review identifies exact file/date/conclusion/findings,N/A,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Stage 7 review format
VF-DOC-009,0.3,DOC-GOV,Governance process,Confirm no AI reviewer approval/amendment,Confirm AI approval rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Authority rule
VF-DOC-010,0.3,VERIFY-TEST,Independent reproduction,Confirm independent implementations functionally equivalent,N/A,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Equivalence rule
VF-IMM-001,2,DEPLOY-FIN + all components,Deployment finalization,Confirm no governance/owner/upgrade/pause roles post-finalization,Confirm any admin role absent,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Immutable control
VF-IMM-002,2,DEPLOY-FIN + all components,Deployment finalization,Confirm no actor may alter economics/value,Confirm value redirection absent,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Immutable control
VF-IMM-003,2,all components,All components,Confirm post-deployment value movement only from fixed logic,Confirm discretionary movement absent,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Immutable control
VF-IMM-004,2,DEPLOY-FIN,Deployment finalization,Confirm no temporary control remains,Confirm temporary control removed,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Immutable control
VF-IMM-005,2,SRC-LOCK + BASE-VERIFY + SRC-RELEASE,Source/Base,Confirm external failure prevents unsafe issuance yet allows principal release,Dependency failure test,N/A,External dependencies,RESOLVED — ARCHITECTURE DEFINED,Fail-safe
VF-IMM-006,2,DOC-GOV,Governance process,Confirm unrepairable defect accepted,Confirm no patch path,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Immutable consequence
VF-ARC-001,3.1,BASE-TOK-* + AXELAR-ITS,Base,Confirm Base canonical issuance/accounting for all 3 tokens,Confirm no other canonical chain,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Canonical chain
VF-ARC-002,3.1,SRC-LOCK,Source,Confirm principal remains on source environment,Confirm no bridge/wrap of principal,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Principal stays on source; per-env mechanism status in Section C; row 54 BCH already in current governing registry (historical K.1); Cosmos Hub EVIDENCE REQUIRED — CHAIN-NATIVE FEASIBILITY ANALYSIS INCOMPLETE
VF-ARC-003,3.2,BASE-ISSUE,Base,Confirm one output per lock,Confirm dual output rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,One output
VF-ARC-004,3.2,SRC-LOCK (chain-native atomic construction) + SRC-PREFLIGHT + BASE-VERIFY,Source/Base,Confirm known-invalid request cannot become a recognized Commitment Vault Lock (rejected at source and/or proof-verification path),Confirm invalid request becomes a recognized lock; confirm concurrent invalid attempts cannot slip through,N/A,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED,Chain-native atomicity = no partial recognized completion (Section Q.4); RESOLVED — DEPLOYABLE MECHANISM ESTABLISHED on EVM/Solana (on-chain); DESIGN DEFINED on UTXO/XRPL/Stellar via proof-verification path; EVIDENCE REQUIRED — CHAIN-NATIVE FEASIBILITY ANALYSIS INCOMPLETE on Cosmos Hub (Section M)
VF-ARC-005,3.2,BASE-VERIFY,Base,Confirm proof/retry cannot change source event/output/recipient/valuation/duration/maturity,Confirm alteration rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Immutability of lock terms
VF-ARC-006,3.2,SRC-BIND + BASE-VERIFY,Source/Base,Confirm Base recipient may differ from source wallet but is bound+nonzero+authorized at creation within the chain-native construction,Confirm unauthorized/zero recipient rejected,N/A,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED,Recipient binding within chain-native construction; RESOLVED — DEPLOYABLE MECHANISM ESTABLISHED on EVM/Solana; binding via script/memo on UTXO/XRPL/Stellar verified at recognition (arbitrary raw tx creates no rights); DESIGN DEFINED (deployable verifier); EVIDENCE REQUIRED — CHAIN-NATIVE FEASIBILITY ANALYSIS INCOMPLETE on Cosmos Hub
